,0
10,"新着
株式会社ビッグモーター | 業界No.1の安定性／全国募集／転勤なし／面接1回／基本土日休み
未経験歓迎★月給27万8600円～★【配送ドライバー(納車など)】 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【移動範囲は1～2時間の短距離中心！】配送ドライバーとして、ビッグモーターで修理・整備するクルマの引き取り／納車などをお任せします。
対象となる方 【未経験・第二新卒歓迎／学歴不問！】 ＼ブランク・転職回数も一切問いません／ ■要普通免許（AT限定可）　☆夜勤なし ☆月8～10日休み
勤務地 ★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…
給与 月給27万8600円〜40万円＋諸手当 ※スキル・経験等を考慮し、決定いたします。 ※配送手当などの一律手…
初年度年収 300万円～700万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/11/30"
11,"新着
株式会社味ん味ん | 業界イメージ払拭！【高給与&完全週休2日】で余裕のある働き方を
大人気焼肉店の【店長候補】★神奈川/西東京中心に地域密着展開! 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 大人気焼肉店『味ん味ん』での店舗業務をお任せします。ゆくゆくは店長として活躍していただけるポジションです！副店長・店長への昇格で給与大幅UP◎
対象となる方 ＜経験一切不問!!＞接客・販売経験は全く必要ありません！／意欲的に業務に取り組める方大歓迎！／応募資格は普通自動車免許or原付免許のみ！
勤務地 お住まいを考慮し通いやすい、 東京・神奈川内の22店舗に配属します！ 【東京都】 東京都町田市／東…
給与 月給：27万円〜＋諸手当＋賞与2回 (一通り仕事を覚えると即28万円！) 【店長】月給：47万円〜＋諸手当＋…
初年度年収 378万円～550万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/28"
12,"新着
UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】★WEB面接OK
【資材管理スタッフ】★高収入可能×社宅完備のエリア多数 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 完全週休2日制 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【憧れの一人暮らしデビューが叶う！社宅全額補助や高収入の案件あり】各種ものづくり工場にて、資材の発注確認、納品チェック等の管理業務を担当。
対象となる方 「安定した職場で働きたい」「一人暮らしデビューしたい！」「高収入を目指したい」「ちゃんと休みたい」そんな方はぜひご応募を！★学歴・経験不問
勤務地 【転勤なし】全国40都道府県に配属！全国各地に勤務地あり！ ☆社員寮あり(社宅費無料あり※一部住宅…
給与 月給20万〜42万円 ※勤務地により異なります ※経験・能力などを最大限考慮して決定します ※試用期間…
初年度年収 300万円～500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/11/30"
13,"新着
株式会社ビッグモーター | ◆平均年収861万円！◆年収2000万円以上の実績あり！◆
月収70万円以上可能☆社会人経験を活かして活躍【営業スタッフ】 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【完全反響スタイル！ノルマなし！】ご来店・ お問い合わせのあったお客様へ中古車の販売・買取をお任せします。☆知名度や豊富な在庫が活躍を応援！
対象となる方 【第二新卒歓迎！異業界出身の先輩が多数活躍中！】応募条件：◆社会人経験　☆残業少なめ＆月8日以上休み ☆多彩な福利厚生
勤務地 【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道…
給与 月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
初年度年収 330万円～1500万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2021/01/04"
14,"新着
株式会社みらい住宅開発紀行 | ◆各種祝金あり◆研修制度あり【大阪府緊急雇用対策に賛同】
不景気にも強い！【リフォームアドバイザー】平均月収50万円 正社員
職種・業種未経験OK 急募 転勤なし 第二新卒歓迎
女性のおしごと掲載中
仕事内容 お客様の住まいに関する課題や問題点をお聞きし、最適なリフォームプランを一緒に考え、ご提案します。
対象となる方 高卒以上※未経験・第二新卒の方歓迎します！　自分の夢や目標を絶対に実現させたい方大歓迎！
勤務地 ◎本人が希望する以外の転勤はありません ◎U・Iターン歓迎！希望を考慮の上、勤務地を決定します ◎…
給与 [1]月給20万500円〜24万4000円※勤務地により異なる （固定残業代5万5500円〜6万7500円／53h含。超過時は…
初年度年収 300万円～850万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/16
掲載終了予定日： 2020/11/30"
15,"新着
株式会社ビッグモーター | 業界No.1企業の安定性／面接1回／転勤なし／月8～10日休み
未経験からはじめる【登録事務スタッフ】☆基本定時退社 正社員
職種・業種未経験OK マネジャー採用 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【入社後はイチから丁寧にレクチャー！】クルマの名義変更手続き・届け出などの事務作業をお任せします。★マニュアル完備！難しい作業はありません♪
対象となる方 【未経験・第二新卒歓迎！】＼学歴・性別・年齢不問／ オフィスワークに興味がある方歓迎！★90％以上が未経験スタート ★既卒・社会人デビューもOK
勤務地 ☆転勤なし！全国募集＆勤務地は希望を考慮します♪ ☆オープニング募集あり！ ☆マイカー通勤OK♪…
給与 【東京・埼玉・千葉】 月給233,600円以上 ＋ 賞与年2回 ※経験・能力等を考慮し決定いたします。 ※固定…
初年度年収 300万円～550万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/10/20
掲載終了予定日： 2020/11/30"
16,"新着
株式会社そら | 【注目の「Dr.ストレッチ」を展開】10/24転職フェア＠千葉出展！
未経験歓迎！【ストレッチトレーナー】◆年休112日・全国募集 正社員
職種・業種未経験OK 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【あなたの”夢”を応援！ぜひ目標を教えてください！】◆ストレッチ専門店でトレーナーとして施術をお任せします◆手厚い研修あり！未経験でも安心♪
対象となる方 【未経験・第二新卒歓迎】◆スポーツ好きの20代が活躍中！◆営業や接客の経験をお持ちの方を歓迎します！目標に向かって努力する先輩が多数活躍中♪
勤務地 【原則転勤無し】 東京(23区)、千葉、神奈川(横浜・川崎）、大阪にあるいずれかの店舗での勤務。す…
給与 月給 226,000円〜290,000円 +各種手当 ※昇給年4回！アナタの頑張りを随時評価します♪ ※月給には固定…
初年度年収 300万円～550万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/10/20
掲載終了予定日： 2020/11/30"
17,"新着
株式会社ビッグモーター | 業界No.1の実績＆安定性／面接1回／月8～10日休み／転勤なし
【事務】☆月給23万9800円～☆残業なし☆基本土日休み☆未経験OK 正社員
職種・業種未経験OK 急募 転勤なし 学歴不問 第二新卒歓迎
女性のおしごと掲載中
仕事内容 クルマの凹みやキズの修理に関する受付、事務業務などをお任せします。◎データ入力や電話対応がメイン。難しい業務はありません♪
対象となる方 ＜未経験・第二新卒歓迎！女性活躍中＞■「車に詳しくない…」そんな方も大丈夫！☆産休育休取得実績多数あり
勤務地 ★転勤なし ★全国の各拠点で大募集（鈑金工場併設店舗） ★マイカー通勤OK！ ★U・Iターン歓迎♪…
給与 【東京・千葉・埼玉エリア】 ■月給25万3600円〜38万5200円 ＋ 業績給 ＋ 賞与年2回 【上記以外のエリア…
初年度年収 300万円～550万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/06
掲載終了予定日： 2020/11/30"
18,"新着
UTコンストラクション株式会社 | 大阪府緊急雇用対策に賛同・東証一部上場グループ
【点検・保守】日勤案件がほとんど/基本土日休み/平均月収29万円 正社員
職種・業種未経験OK 急募 転勤なし 第二新卒歓迎
仕事内容 <11月入社歓迎/即入社可能・男性多数活躍中!>研修からスタート！駅ビルや商業施設などの点検・保守等、管理業務 ★殆どが日勤のお仕事★年休120日以上
対象となる方 【未経験/第二新卒歓迎】土日祝休みでカレンダー通りに働ける！ほぼ全員が未経験入社★社宅6割補助！転居を伴う転職の場合、引越費用は全額会社負担！
勤務地 【希望勤務地考慮、ご希望考慮します】◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡…
給与 月給23万円〜＋各種手当【前職給与保証】 ★未経験入社者の平均月収は29.2万円！ ※別途、残業手当（100…
初年度年収 300万円～650万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/10
掲載終了予定日： 2020/11/30"
19,"新着
UTコンストラクション株式会社 | ★大手グループの安定基盤★土日祝休み
☆未経験☆【総合職(管理・資料作成等)】LINE面接実施中！ 正社員
職種・業種未経験OK 急募 転勤なし 第二新卒歓迎
女性のおしごと掲載中
仕事内容 【未経験入社者の平均月収29万円】建設プロジェクトにおける、写真撮影・関係者との打ち合わせ・スタッフの勤怠管理等を担当☆前職給与保証(規定あり)
対象となる方 【未経験歓迎・男性活躍中】未経験者の入社実績多数！11・12月入社歓迎！ゆくゆくは本社の営業や人事、総務等へのキャリアチェンジも可能！
勤務地 【希望勤務地考慮、ご希望考慮します】◎全国のプロジェクト先、各拠点(東京/仙台/大阪/名古屋/福岡…
給与 月給23万円〜＋各種手当【前職給与保証(規定あり)】 ☆未経験者の平均月収は29.2万円！ ☆経験者の平均…
初年度年収 350万円～400万円
企業からのメッセージを見る
詳細を見る
気になる
情報更新日： 2020/11/17
掲載終了予定日： 2020/12/14"
